Time,Temperature  (*C),Temperature  (*F),A-D  (1-255)
10/5/95 17:15,43.2,109.8,153
10/5/95 17:16,43.2,109.8,153
10/5/95 17:16,43.2,109.8,153
10/5/95 17:17,43.2,109.8,153
10/5/95 17:18,43.2,109.8,153
10/5/95 17:18,43.2,109.8,153
10/5/95 17:19,43.2,109.8,153
10/5/95 17:20,43.2,109.8,153
10/5/95 17:20,43.2,109.8,153
10/5/95 17:21,43.2,109.8,153
10/5/95 17:22,43.2,109.8,153
10/5/95 17:22,43.2,109.8,153
10/5/95 17:23,43.2,109.8,153
10/5/95 17:24,43.5,110.4,152
10/5/95 17:24,43.5,110.4,152
10/5/95 17:25,43.5,110.4,152
10/5/95 17:26,43.5,110.4,152
10/5/95 17:26,43.5,110.4,152
10/5/95 17:27,43.5,110.4,152
10/5/95 17:28,43.5,110.4,152
10/5/95 17:28,43.5,110.4,152
10/5/95 17:29,43.5,110.4,152
10/5/95 17:30,43.5,110.4,152
10/5/95 17:30,43.5,110.4,152
10/5/95 17:31,43.5,110.4,152
10/5/95 17:32,43.5,110.4,152
10/5/95 17:32,43.5,110.4,152
10/5/95 17:33,43.5,110.4,152
10/5/95 17:34,43.5,110.4,152
10/5/95 17:34,43.5,110.4,152
10/5/95 17:35,43.5,110.4,152
10/5/95 17:36,43.5,110.4,152
10/5/95 17:36,43.5,110.4,152
10/5/95 17:37,43.5,110.4,152
10/5/95 17:38,43.5,110.4,152
10/5/95 17:38,43.5,110.4,152
10/5/95 17:39,43.5,110.4,152
10/5/95 17:40,43.5,110.4,152
10/5/95 17:40,43.5,110.4,152
10/5/95 17:41,43.5,110.4,152
10/5/95 17:42,43.5,110.4,152
10/5/95 17:42,43.5,110.4,152
10/5/95 17:43,43.5,110.4,152
10/5/95 17:44,43.5,110.4,152
10/5/95 17:44,43.5,110.4,152
10/5/95 17:45,43.5,110.4,152
10/5/95 17:46,43.5,110.4,152
10/5/95 17:46,43.9,111.1,151
10/5/95 17:47,43.9,111.1,151
